N,lx,ly,replica,lam,g,seed,sweeps,waiting,phi_final,released,expected,released_first_window,ledge_sweeps,settle_sweeps,reached,f_200,sweep_25,pieces_25,largest_25,converted_25,d0_25,d1_25,d2_25,d3_25,d4_25,d5_25,d6_25,sweep_50,pieces_50,largest_50,converted_50,d0_50,d1_50,d2_50,d3_50,d4_50,d5_50,d6_50,sweep_75,pieces_75,largest_75,converted_75,d0_75,d1_75,d2_75,d3_75,d4_75,d5_75,d6_75
64,16,4,0,1.35,1.5,3142084231,2090,205,1.0,1.4000000000000004,1.4000000000000004,1.3915625000000003,0,1800,0.75,0.75,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0,205,1,1.0,52,0,12,52,0,0,0,0
64,16,4,1,1.35,1.5,3474945826,2670,340,1.0,1.4000000000000004,1.4000000000000004,1.2564583333333337,600,1800,0.75,0.0,340,4,0.25,8,0,52,8,4,0,0,0,735,1,1.0,32,0,32,32,0,0,0,0,755,1,1.0,48,0,16,48,0,0,0,0
64,16,4,2,1.35,1.5,2817427752,8960,640,1.0,1.4000000000000004,1.4000000000000004,0.67453125,4200,5400,0.75,0.125,640,4,0.25,8,0,52,8,4,0,0,0,1460,3,0.8333333333333334,24,0,32,24,8,0,0,0,1545,4,0.85,40,0,20,40,4,0,0,0
64,16,4,3,1.35,1.5,3451455413,1410,,1.0,1.4000000000000004,1.4000000000000004,1.3971875000000002,0,1200,0.75,0.9375,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0,205,1,1.0,60,0,4,60,0,0,0,0
64,16,4,4,1.35,1.5,1751966964,17275,205,0.984375,1.4000000000000004,1.4000000000000004,0.6331250000000004,15600,16800,0.75,0.125,315,4,0.25,8,0,52,8,4,0,0,0,430,1,1.0,32,0,32,32,0,0,0,0,465,2,0.9615384615384616,52,0,8,52,4,0,0,0
64,16,4,5,1.35,1.5,2526295624,5005,,1.0,1.4000000000000004,1.4000000000000004,0.702057291666667,3600,4800,0.75,1.0,205,1,1.0,60,0,2,60,2,0,0,0,205,1,1.0,60,0,2,60,2,0,0,0,205,1,1.0,60,0,2,60,2,0,0,0
64,16,4,6,1.35,1.5,13344874,100690,220,1.0,1.1500000000000004,1.4000000000000004,0.48203125000000036,35400,100200,0.75,0.0,220,4,0.25,8,0,52,8,4,0,0,0,345,3,0.8333333333333334,24,0,36,24,4,0,0,0,465,6,0.65625,32,0,24,32,8,0,0,0
64,16,4,7,1.35,1.5,2116544352,2285,335,1.0,1.4000000000000004,1.4000000000000004,1.3718750000000004,0,1800,0.75,0.0,335,4,0.25,8,0,52,8,4,0,0,0,380,2,0.625,32,0,32,32,0,0,0,0,415,1,1.0,50,0,13,50,1,0,0,0
64,16,4,8,1.35,1.5,3753459858,7040,215,0.984375,1.4000000000000004,1.4000000000000004,0.42236979166666677,5400,6600,0.75,0.0,230,1,1.0,16,0,48,16,0,0,0,0,260,4,0.75,24,0,36,24,4,0,0,0,350,7,0.6666666666666666,36,0,20,36,8,0,0,0
64,16,4,9,1.35,1.5,1840070697,100585,205,1.0,0.7236458333333335,1.4000000000000004,0.7684895833333337,69600,100200,0.75,0.5625,205,4,0.7,20,0,36,20,8,0,0,0,205,4,0.7,20,0,36,20,8,0,0,0,360,3,0.9,40,0,20,40,4,0,0,0
64,16,4,10,1.35,1.5,4118071820,1610,265,1.0,1.4000000000000004,1.4000000000000004,1.4000000000000004,0,1200,0.75,0.0,270,1,1.0,16,0,48,16,0,0,0,0,325,1,1.0,32,0,32,32,0,0,0,0,380,1,1.0,48,0,16,48,0,0,0,0
64,16,4,11,1.35,1.5,4150518924,100580,340,1.0,0.7225000000000004,1.4000000000000004,0.6373697916666672,16200,100200,0.75,0.75,205,4,0.8125,32,0,24,32,8,0,0,0,205,4,0.8125,32,0,24,32,8,0,0,0,205,4,0.8125,32,0,24,32,8,0,0,0
64,16,4,12,1.35,1.5,3820260611,102935,210,1.0,1.0625000000000002,1.4000000000000004,1.0526562500000003,0,100200,0.75,0.25,205,4,0.25,8,0,52,8,4,0,0,0,325,4,0.7,20,0,36,20,8,0,0,0,425,3,0.9,40,0,20,40,4,0,0,0
64,16,4,13,1.35,1.5,2702875841,2365,225,1.0,1.4000000000000004,1.4000000000000004,1.2765625000000003,600,1800,0.75,0.0,250,1,1.0,16,0,48,16,0,0,0,0,270,1,1.0,32,0,32,32,0,0,0,0,285,1,1.0,48,0,16,48,0,0,0,0
64,16,4,14,1.35,1.5,3013639313,2865,255,1.0,1.4000000000000004,1.4000000000000004,1.1363020833333337,600,2400,0.75,0.0,255,4,0.25,8,0,52,8,4,0,0,0,315,4,0.75,24,0,36,24,4,0,0,0,405,1,1.0,48,0,16,48,0,0,0,0
64,16,4,15,1.35,1.5,717580386,100405,205,0.96875,0.9000000000000004,1.4000000000000004,0.3287500000000001,28200,100200,0.75,1.125,205,1,1.0,45,0,6,45,12,1,0,0,205,1,1.0,45,0,6,45,12,1,0,0,205,1,1.0,45,0,6,45,12,1,0,0
64,16,4,16,1.35,1.5,3368570586,100980,635,1.0,0.9812500000000002,1.4000000000000004,0.39494791666666695,7800,100200,0.75,0.25,205,4,0.25,8,0,52,8,4,0,0,0,680,4,0.7,20,0,36,20,8,0,0,0,760,5,0.4642857142857143,28,0,26,28,10,0,0,0
64,16,4,17,1.35,1.5,1176611674,2340,270,1.0,1.4000000000000004,1.4000000000000004,1.1771875000000003,600,1800,0.75,0.0,310,1,1.0,16,0,48,16,0,0,0,0,385,1,1.0,36,0,28,36,0,0,0,0,410,1,1.0,48,0,16,48,0,0,0,0
64,16,4,18,1.35,1.5,1674810569,100780,265,1.0,0.7271875000000005,1.4000000000000004,0.27427083333333346,78000,100200,0.75,0.0,265,4,0.25,8,0,52,8,4,0,0,0,405,5,0.5,22,0,37,22,5,0,0,0,555,3,0.9090909090909091,33,0,20,33,10,1,0,0
64,16,4,19,1.35,1.5,889818810,100820,230,0.984375,0.750260416666667,1.4000000000000004,-0.17122395833333348,18600,100200,0.75,0.0,505,4,0.25,8,0,52,8,4,0,0,0,585,3,0.6190476190476191,21,0,36,21,6,1,0,0,595,3,0.7777777777777778,27,1,25,27,11,0,0,0
64,16,4,20,1.35,1.5,2363919262,5125,575,1.0,1.4000000000000004,1.4000000000000004,1.141041666666667,2400,4200,0.75,0.0,575,4,0.25,8,0,52,8,4,0,0,0,840,1,1.0,32,0,32,32,0,0,0,0,880,1,1.0,48,0,16,48,0,0,0,0
64,16,4,21,1.35,1.5,2699301338,100415,,1.0,0.9778645833333336,1.4000000000000004,0.21104166666666702,19200,100200,0.75,0.9375,205,2,0.9473684210526315,38,0,19,38,7,0,0,0,205,2,0.9473684210526315,38,0,19,38,7,0,0,0,205,2,0.9473684210526315,38,0,19,38,7,0,0,0
